common_name,scientific_name,start_time,end_time,confidence,label,filename
Eurasian Blackcap,Sylvia atricapilla,3.0,6.0,0.4902356266975403,Sylvia atricapilla_Eurasian Blackcap,XC871476 - Soundscape.wav
Eurasian Blackcap,Sylvia atricapilla,6.0,9.0,0.5868079662322998,Sylvia atricapilla_Eurasian Blackcap,XC871476 - Soundscape.wav
Eurasian Blackcap,Sylvia atricapilla,12.0,15.0,0.5688246488571167,Sylvia atricapilla_Eurasian Blackcap,XC871476 - Soundscape.wav
Eurasian Blackbird,Turdus merula,18.0,21.0,0.4174462854862213,Turdus merula_Eurasian Blackbird,XC871476 - Soundscape.wav
Eurasian Blackcap,Sylvia atricapilla,21.0,24.0,0.7749007940292358,Sylvia atricapilla_Eurasian Blackcap,XC871476 - Soundscape.wav
Eurasian Blackcap,Sylvia atricapilla,24.0,27.0,0.3074502646923065,Sylvia atricapilla_Eurasian Blackcap,XC871476 - Soundscape.wav
Eurasian Blackcap,Sylvia atricapilla,27.0,30.0,0.2609036862850189,Sylvia atricapilla_Eurasian Blackcap,XC871476 - Soundscape.wav
Eurasian Blackcap,Sylvia atricapilla,30.0,33.0,0.42561623454093933,Sylvia atricapilla_Eurasian Blackcap,XC871476 - Soundscape.wav
Rook,Corvus frugilegus,33.0,36.0,0.2983948290348053,Corvus frugilegus_Rook,XC871476 - Soundscape.wav
Eurasian Blackcap,Sylvia atricapilla,33.0,36.0,0.29797422885894775,Sylvia atricapilla_Eurasian Blackcap,XC871476 - Soundscape.wav
Eurasian Blackcap,Sylvia atricapilla,39.0,42.0,0.4124751091003418,Sylvia atricapilla_Eurasian Blackcap,XC871476 - Soundscape.wav
Eurasian Blackcap,Sylvia atricapilla,42.0,45.0,0.5474194288253784,Sylvia atricapilla_Eurasian Blackcap,XC871476 - Soundscape.wav
Eurasian Blackcap,Sylvia atricapilla,45.0,48.0,0.4481803774833679,Sylvia atricapilla_Eurasian Blackcap,XC871476 - Soundscape.wav
Eurasian Blackcap,Sylvia atricapilla,63.0,66.0,0.2787119746208191,Sylvia atricapilla_Eurasian Blackcap,XC871476 - Soundscape.wav
Eurasian Blackcap,Sylvia atricapilla,75.0,78.0,0.2887502610683441,Sylvia atricapilla_Eurasian Blackcap,XC871476 - Soundscape.wav
Eurasian Blackcap,Sylvia atricapilla,84.0,87.0,0.3331765830516815,Sylvia atricapilla_Eurasian Blackcap,XC871476 - Soundscape.wav
Common Redstart,Phoenicurus phoenicurus,90.0,93.0,0.31777575612068176,Phoenicurus phoenicurus_Common Redstart,XC871476 - Soundscape.wav
Eurasian Blackcap,Sylvia atricapilla,102.0,105.0,0.7595463991165161,Sylvia atricapilla_Eurasian Blackcap,XC871476 - Soundscape.wav
